k,pop_size,iterations,perc_elitism,perc_mat,sel_type,cross_type,mutation_rate,mut_type,best_solution_fitness,solution_generation,cycle_time,station_times,operator_times,violations,best_solution
23121,10000,1000,0.05,0.1,roulette,SP,0.1,random,29325,3,29325,"[29064, 13479, 20694, 7935, 24822, 11322, 27105, 29325, 29283, 27945, 20598]","[23700, 26142, 29325, 29283, 27945, 20598]",0,"[0, 0, 0, 0, 1, 1, 1, 1, 2, 2, 2, 2, 3, 3, 3, 3, 4, 4, 4, 4, 4, 5, 5, 5, 6, 6, 6, 6, 6, 7, 7, 8, 8, 8, 8, 7, 7, 8, 7, 9, 4, 4, 6, 7, 7, 9, 7, 9, 9, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]"
23121,10000,1000,0.05,0.1,roulette,DP,0.1,random,29004,3,29004,"[27813, 14730, 20694, 7935, 22617, 15951, 24681, 28758, 28791, 29004, 20598]","[23700, 26142, 28758, 28791, 29004, 20598]",0,"[0, 0, 0, 1, 1, 1, 1, 1, 2, 2, 2, 2, 3, 3, 3, 3, 4, 4, 4, 4, 5, 5, 5, 5, 5, 6, 6, 6, 6, 7, 7, 7, 7, 7, 9, 7, 8, 7, 8, 9, 4, 4, 6, 7, 7, 8, 8, 8, 9, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]"
23121,10000,1000,0.05,0.1,roulette,UX,0.1,random,28896,8,28896,"[27813, 12792, 24732, 9636, 13632, 21135, 24681, 28869, 28788, 28896, 20598]","[27501, 22341, 28869, 28788, 28896, 20598]",0,"[0, 0, 0, 1, 1, 1, 1, 2, 2, 2, 2, 2, 3, 3, 3, 3, 2, 3, 4, 4, 4, 5, 5, 5, 5, 6, 6, 6, 6, 7, 7, 7, 7, 7, 8, 8, 9, 9, 7, 8, 5, 5, 6, 9, 9, 9, 9, 9, 9, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]"
23121,10000,1000,0.05,0.1,roulette,SP,0.15,random,29139,0,29139,"[27813, 14730, 22794, 9636, 21021, 11322, 27105, 29139, 28638, 28776, 20598]","[27501, 22341, 29139, 28638, 28776, 20598]",0,"[0, 0, 0, 1, 1, 1, 1, 1, 2, 2, 2, 2, 3, 3, 3, 3, 2, 3, 4, 4, 4, 5, 5, 5, 6, 6, 6, 6, 6, 7, 7, 8, 8, 7, 7, 9, 8, 9, 9, 8, 4, 4, 6, 8, 8, 8, 9, 9, 9, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]"
23121,10000,1000,0.05,0.1,roulette,DP,0.15,random,29001,3,29001,"[27813, 12792, 24732, 7935, 22722, 11322, 27105, 28818, 29001, 28734, 20598]","[25800, 24042, 28818, 29001, 28734, 20598]",0,"[0, 0, 0, 1, 1, 1, 1, 2, 2, 2, 2, 2, 3, 3, 3, 3, 2, 4, 4, 4, 4, 5, 5, 5, 6, 6, 6, 6, 6, 7, 7, 8, 8, 7, 8, 7, 9, 9, 9, 8, 4, 4, 6, 7, 7, 7, 9, 9, 9, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]"
23121,10000,1000,0.05,0.1,roulette,UX,0.15,random,28896,6,28896,"[27813, 12792, 24732, 7935, 13128, 20916, 27105, 28869, 28788, 28896, 20598]","[25800, 24042, 28869, 28788, 28896, 20598]",0,"[0, 0, 0, 1, 1, 1, 1, 2, 2, 2, 2, 2, 3, 3, 3, 3, 2, 4, 4, 4, 5, 5, 5, 5, 6, 6, 6, 6, 6, 7, 7, 7, 7, 7, 8, 8, 9, 9, 7, 8, 5, 5, 6, 9, 9, 9, 9, 9, 9, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]"
23121,10000,1000,0.05,0.1,rank,SP,0.05,random,29316,9,29316,"[29064, 11541, 22632, 7935, 15228, 20916, 27105, 29316, 28788, 28449, 20598]","[23700, 26142, 29316, 28788, 28449, 20598]",0,"[0, 0, 0, 0, 1, 1, 1, 2, 2, 2, 2, 2, 3, 3, 3, 3, 4, 4, 4, 4, 5, 5, 5, 5, 6, 6, 6, 6, 6, 7, 7, 7, 7, 9, 8, 8, 7, 9, 7, 8, 5, 5, 6, 9, 9, 7, 7, 9, 9, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]"
23121,10000,1000,0.05,0.1,rank,DP,0.05,random,29001,9,29001,"[27813, 12792, 24732, 7935, 13128, 23340, 24681, 28944, 29001, 28608, 20598]","[25800, 24042, 28944, 29001, 28608, 20598]",0,"[0, 0, 0, 1, 1, 1, 1, 2, 2, 2, 2, 2, 3, 3, 3, 3, 2, 4, 4, 4, 5, 5, 5, 5, 5, 6, 6, 6, 6, 7, 7, 8, 8, 9, 8, 7, 9, 7, 7, 8, 5, 5, 6, 9, 9, 7, 7, 9, 9, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]"
23121,10000,1000,0.05,0.1,rank,UX,0.05,random,28896,13,28896,"[27813, 14730, 22794, 7935, 15333, 21135, 24681, 28869, 28788, 28896, 20598]","[25800, 24042, 28869, 28788, 28896, 20598]",0,"[0, 0, 0, 1, 1, 1, 1, 1, 2, 2, 2, 2, 3, 3, 3, 3, 2, 4, 4, 4, 4, 5, 5, 5, 5, 6, 6, 6, 6, 7, 7, 7, 7, 7, 8, 8, 9, 9, 7, 8, 5, 5, 6, 9, 9, 9, 9, 9, 9, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]"
23121,10000,1000,0.05,0.1,rank,SP,0.1,random,29139,5,29139,"[27813, 12792, 22632, 7935, 24822, 13746, 24681, 29139, 28518, 28896, 20598]","[23700, 26142, 29139, 28518, 28896, 20598]",0,"[0, 0, 0, 1, 1, 1, 1, 2, 2, 2, 2, 2, 3, 3, 3, 3, 4, 4, 4, 4, 4, 5, 5, 5, 5, 6, 6, 6, 6, 7, 7, 8, 8, 7, 7, 8, 9, 9, 8, 8, 4, 4, 6, 9, 9, 9, 9, 9, 9, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]"
23121,10000,1000,0.05,0.1,rank,DP,0.1,random,29148,8,29148,"[29064, 11541, 22632, 7935, 15228, 20916, 27105, 28818, 28587, 29148, 20598]","[23700, 26142, 28818, 28587, 29148, 20598]",0,"[0, 0, 0, 0, 1, 1, 1, 2, 2, 2, 2, 2, 3, 3, 3, 3, 4, 4, 4, 4, 5, 5, 5, 5, 6, 6, 6, 6, 6, 7, 7, 9, 9, 7, 8, 7, 9, 8, 9, 8, 5, 5, 6, 7, 7, 7, 9, 9, 9, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]"
23121,10000,1000,0.05,0.1,rank,UX,0.1,random,29001,7,29001,"[27813, 12792, 22632, 7935, 15228, 23340, 24681, 28902, 29001, 28650, 20598]","[23700, 26142, 28902, 29001, 28650, 20598]",0,"[0, 0, 0, 1, 1, 1, 1, 2, 2, 2, 2, 2, 3, 3, 3, 3, 4, 4, 4, 4, 5, 5, 5, 5, 5, 6, 6, 6, 6, 7, 7, 8, 8, 9, 8, 9, 7, 7, 7, 8, 5, 5, 6, 9, 9, 7, 7, 9, 9, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]"
23121,10000,1000,0.05,0.1,rank,SP,0.15,random,29139,4,29139,"[29064, 11541, 22632, 7935, 17433, 18711, 27105, 29139, 28518, 28896, 20598]","[23700, 26142, 29139, 28518, 28896, 20598]",0,"[0, 0, 0, 0, 1, 1, 1, 2, 2, 2, 2, 2, 3, 3, 3, 3, 4, 4, 4, 4, 4, 5, 5, 5, 6, 6, 6, 6, 6, 7, 7, 8, 8, 7, 7, 8, 9, 9, 8, 8, 5, 5, 6, 9, 9, 9, 9, 9, 9, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]"
23121,10000,1000,0.05,0.1,rank,DP,0.15,random,28896,34,28896,"[27813, 14730, 20694, 7935, 17433, 21135, 24681, 28869, 28788, 28896, 20598]","[23700, 26142, 28869, 28788, 28896, 20598]",0,"[0, 0, 0, 1, 1, 1, 1, 1, 2, 2, 2, 2, 3, 3, 3, 3, 4, 4, 4, 4, 4, 5, 5, 5, 5, 6, 6, 6, 6, 7, 7, 7, 7, 7, 8, 8, 9, 9, 7, 8, 5, 5, 6, 9, 9, 9, 9, 9, 9, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]"
23121,10000,1000,0.05,0.1,rank,UX,0.15,random,28896,9,28896,"[27813, 12792, 24732, 7935, 15333, 18711, 27105, 28869, 28788, 28896, 20598]","[25800, 24042, 28869, 28788, 28896, 20598]",0,"[0, 0, 0, 1, 1, 1, 1, 2, 2, 2, 2, 2, 3, 3, 3, 3, 2, 4, 4, 4, 4, 5, 5, 5, 6, 6, 6, 6, 6, 7, 7, 7, 7, 7, 8, 8, 9, 9, 7, 8, 5, 5, 6, 9, 9, 9, 9, 9, 9, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]"
23121,10000,1000,0.05,0.1,tournament,SP,0.05,random,29139,3,29139,"[27813, 12792, 24732, 9636, 11427, 20916, 27105, 29139, 28731, 28683, 20598]","[27501, 22341, 29139, 28731, 28683, 20598]",0,"[0, 0, 0, 1, 1, 1, 1, 2, 2, 2, 2, 2, 3, 3, 3, 3, 2, 3, 4, 4, 5, 5, 5, 5, 6, 6, 6, 6, 6, 7, 7, 8, 8, 7, 7, 9, 8, 8, 8, 9, 5, 5, 6, 9, 9, 9, 8, 8, 9, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]"
23121,10000,1000,0.05,0.1,tournament,DP,0.05,random,29001,8,29001,"[27813, 12792, 24732, 7935, 15333, 21135, 24681, 28656, 29001, 28896, 20598]","[25800, 24042, 28656, 29001, 28896, 20598]",0,"[0, 0, 0, 1, 1, 1, 1, 2, 2, 2, 2, 2, 3, 3, 3, 3, 2, 4, 4, 4, 4, 5, 5, 5, 5, 6, 6, 6, 6, 7, 7, 8, 8, 7, 8, 7, 9, 9, 7, 8, 5, 5, 6, 9, 9, 9, 9, 9, 9, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]"
